縣市別,行業別,媒介物,災害類型,發生日期,死,傷
花蓮縣,營造業,屋頂,墜落、滾落,2013-3-20,1,0
屏東縣,營造業,屋頂、屋架、樑,墜落、滾落,2013-3-23,1,0
桃園縣,營造業,屋頂,墜落、滾落,2013-3-23,1,0
桃園縣,營造業,電力設備,感電,2013-3-24,1,0
新北市,製造業,金屬材料,物體飛落,2013-3-25,1,0
桃園縣,製造業,金屬材料,跌倒,2013-3-25,1,0
高雄市,營造業,合梯,墜落、滾落,2013-3-26,1,0
台東縣,營造業,營建物(C型鋼),物體飛落,2013-3-29,1,1
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2013-3-30,1,0
桃園縣,營造業,開口部分,墜落、滾落,2013-4-2,1,0
雲林縣,製造業,絞纜器,被夾、被捲,2013-4-3,1,0
台中市,運輸及倉儲業,火車,被撞,2013-4-4,1,0
高雄市,製造業,屋頂,墜落、滾落,2013-4-5,1,0
新北市,營造業,開口部分,墜落、滾落,2013-4-5,1,0
新北市,營造業,開口部分,墜落、滾落,2013-4-7,1,0
彰化縣,運輸及倉儲業,輸配電線路,感電,2013-4-9,1,0
新北市,營造業,支撐架,墜落、滾落,2013-4-10,1,0
桃園縣,製造業,開口部分,墜落、滾落,2013-4-11,1,0
新北市,營造業,屋頂,墜落、滾落,2013-4-11,1,0
苗栗縣,製造業,吹瓶機械,被夾、被捲,2013-4-11,1,0
新北市,營造業,施工架,墜落、滾落,2013-4-16,1,0
桃園縣,製造業,粉碎機,被夾、被捲,2013-4-18,1,0
台南市,製造業,衝床,物體飛落,2013-4-18,1,0
台南市,營造業,屋頂、屋架、樑,墜落、滾落,2013-4-19,1,0
台中市,營造業,鋼樑,墜落、滾落,2013-4-19,1,0
新竹市,營造業,屋頂,墜落、滾落,2013-4-22,1,0
台南市,不動產業,施工架,墜落、滾落,2013-4-24,1,0
台中市,營造業,輸配電線路,感電,2013-4-25,1,0
高雄市,住宿及餐飲業,合梯,墜落、滾落,2013-4-25,1,0
新竹縣,營造業,梯子等,墜落、滾落,2013-4-26,1,0
桃園縣,製造業,印刷機,物體倒塌、崩塌,2013-5-2,1,0
嘉義縣,資訊及通訊傳播業,其他,其他,2013-5-4,2,0
台中市,營造業,屋頂、屋架、樑,墜落、滾落,2013-5-5,1,0
高雄市,營造業,開口部分,墜落、滾落,2013-5-7,1,0
苗栗縣,營造業,樓梯,墜落、滾落,2013-5-10,1,0
嘉義縣,製造業,鐵水,與高溫、低溫之接觸,2013-5-11,1,0
台中市,營造業,開口部分,墜落、滾落,2013-5-15,1,0
花蓮縣,電力及燃氣供應業,水,溺斃,2013-5-15,1,0
宜蘭縣,營造業,梯子,墜落、滾落,2013-5-16,1,0
新北市,營造業,輸配電線路,感電,2013-5-17,1,0
桃園縣,營造業,起重機,被撞,2013-5-18,1,0
南投縣,製造業,紙捲,物體飛落,2013-5-21,1,0
台南市,營造業,施工架,物體倒塌、崩塌,2013-5-22,2,0
台中市,製造業,熱水,與高溫、低溫之接觸,2013-5-22,1,0
高雄市,製造業,水,溺斃,2013-5-23,1,0
屏東縣,營造業,電弧熔接,感電,2013-5-23,1,0
高雄市,批發及零售業,木材,物體飛落,2013-5-25,1,0
台南市,製造業,金屬材料,物體倒塌、崩塌,2013-5-25,1,0
高雄市,製造業,採光罩,墜落、滾落,2013-5-27,1,0
桃園縣,製造業,其他,與有害物等之接觸,2013-5-27,1,0
嘉義縣,營造業,預拌混凝土車,公路交通事故,2013-5-29,1,0
台南市,製造業,吊掛鉤具,被夾、被捲,2013-5-29,1,0
台中市,製造業,油壓式裁切機,被夾、被捲,2013-5-30,1,0
雲林縣,運輸及倉儲業,堆高機,被撞,2013-5-30,1,0
桃園縣,不動產業,營建物(磚牆),物體倒塌、崩塌,2013-5-30,1,0
新北市,營造業,汽車,公路交通事故,2013-5-31,1,0
屏東縣,營造業,輸配電線路,感電,2013-6-4,1,0
南投縣,電力及燃氣供應業,營建物(電線桿),墜落、滾落,2013-6-5,1,0
台南市,營造業,施工架,物體倒塌、崩塌,2013-6-6,1,1
台南市,製造業,金屬材料,物體倒塌、崩塌,2013-6-10,1,0
台中市,支援服務業,其他設備,墜落、滾落,2013-6-11,1,0
雲林縣,製造業,採光浪板,墜落、滾落,2013-6-12,1,0
台中市,製造業,爐渣車,墜落、滾落,2013-6-12,1,0
新北市,運輸及倉儲業,電力設備,感電,2013-6-13,1,0
基隆市,公共行政及國防；強制性社會安全,汽車、公共汽車,公路交通事故,2013-6-14,1,0
嘉義縣,營造業,梯子,墜落、滾落,2013-6-16,1,0
桃園縣,營造業,卡車,其他交通事故,2013-6-17,1,0
基隆市,用水供應及污染整治業,無媒介物,其他,2013-6-17,1,0
桃園縣,營造業,合梯,墜落、滾落,2013-6-19,1,0
高雄市,營造業,通道,跌倒,2013-6-19,1,0
高雄市,製造業,工作台,墜落、滾落,2013-6-20,1,0
高雄市,運輸及倉儲業,已包裝貨物,墜落、滾落,2013-6-20,1,0
桃園縣,製造業,支撐架,物體倒塌、崩塌,2013-6-20,1,0
新竹縣,營造業,輸配電線路,感電,2013-6-21,1,0
台南市,製造業,噴塗設備,被夾、被捲,2013-6-25,1,0
高雄市,營造業,屋頂,墜落、滾落,2013-6-27,1,0
高雄市,營造業,金屬材料,被刺、割、擦傷,2013-6-28,1,0
台南市,批發及零售業,其他(震動過濾機),感電,2013-6-30,1,0
嘉義縣,營造業,落石,物體飛落,2013-7-1,1,0
屏東縣,營造業,施工架,墜落、滾落,2013-7-1,1,0
新北市,支援服務業,高空工作車,墜落、滾落,2013-7-1,1,0
新北市,營造業,屋頂、屋架、樑,墜落、滾落,2013-7-2,1,0
台北市,營造業,其他媒介物,墜落、滾落,2013-7-3,1,0
高雄市,製造業,壓力容器,物體破裂,2013-7-4,1,0
嘉義縣,製造業,輸配電線路,感電,2013-7-4,1,0
台北市,製造業,屋頂,墜落、滾落,2013-7-5,1,0
桃園縣,營造業,堆高機,墜落、滾落,2013-7-5,1,0
基隆市,營造業,升降機,墜落、滾落,2013-7-6,1,0
新北市,營造業,無媒介物,其他,2013-7-6,1,0
桃園縣,營造業,屋頂、屋架、樑,墜落、滾落,2013-7-7,1,0
台南市,營造業,高空工作車,墜落、滾落,2013-7-8,1,0
台中市,營造業,營建物(直立塑膠管),被刺、割、擦傷,2013-7-9,1,0
台中市,營造業,無媒介物,跌倒,2013-7-9,1,0
高雄市,營造業,開口部分,墜落、滾落,2013-7-12,1,0
宜蘭縣,營造業,屋頂、屋架、樑,墜落、滾落,2013-7-14,1,0
新竹縣,電力及燃氣供應業,輸配電線路,感電,2013-7-15,1,0
新北市,營造業,輸配電線路,感電,2013-7-15,1,0
新北市,製造業,採光塑膠板,墜落、滾落,2013-7-16,1,0
高雄市,製造業,貨車(車斗),被撞,2013-7-16,1,0
高雄市,製造業, 拖板車,其他交通事故,2013-7-18,1,0
花蓮縣,營造業,施工架,墜落、滾落,2013-7-19,1,0
桃園縣,製造業,有害物,與有害物等之接觸,2013-7-19,1,0
新竹市,營造業,輸配電線路,感電,2013-7-20,1,0
基隆市,用水供應及污染整治業,輸送帶,被夾、被捲,2013-7-20,1,0
桃園縣,營造業,開口部分,墜落、滾落,2013-7-20,1,1
南投縣,營造業,開口部分,墜落、滾落,2013-7-22,1,0
桃園縣,製造業,採光浪板,墜落、滾落,2013-7-22,1,0
彰化縣,運輸及倉儲業,堆高機,物體倒塌、崩塌,2013-7-23,1,0
桃園縣,營造業,施工架,墜落、滾落,2013-7-23,1,0
桃園縣,製造業,屋頂,墜落、滾落,2013-7-24,1,0
桃園縣,製造業,水,溺斃,2013-7-25,1,0
苗栗縣,製造業,離心機,被夾、被捲,2013-7-25,1,0
苗栗縣,營造業,屋頂、屋架、樑,墜落、滾落,2013-7-27,1,0
苗栗縣,礦業及土石採取業,鏈鉗 ,被撞,2013-7-27,1,0
台中市,營造業,動力鏟類設備,被撞,2013-7-29,1,0
台南市,營造業,屋頂,墜落、滾落,2013-7-29,1,0
台南市,營造業,施工架,墜落、滾落,2013-7-30,1,0
高雄市,製造業,有害物(硫化氫),與有害物等之接觸,2013-7-30,1,3
高雄市,營造業,營建物,墜落、滾落,2013-7-30,1,0
嘉義市,批發及零售業,堆高機,被撞,2013-7-30,1,0
桃園縣,製造業,梯子等,墜落、滾落,2013-7-31,1,0
新北市,製造業,捲線機,被夾、被捲,2013-7-31,1,0
台中市,營造業,施工架,墜落、滾落,2013-7-31,1,0
高雄市,製造業,動力鏟類設備(挖土機),被撞,2013-7-31,1,0
新北市,營造業,屋頂,墜落、滾落,2013-7-31,1,0
台中市,營造業,梯子,墜落、滾落,2013-8-1,1,0
桃園縣,營造業,施工架,墜落、滾落,2013-8-2,1,0
南投縣,營造業,輸配電線路,感電,2013-8-3,1,0
台中市,其他服務業,屋頂,墜落、滾落,2013-8-3,1,0
新北市,營造業,開口部分,墜落、滾落,2013-8-5,1,0
台中市,營造業,開口部分,墜落、滾落,2013-8-5,1,0
桃園縣,製造業,電弧熔接,感電,2013-8-6,1,0
高雄市,營造業,屋頂,墜落、滾落,2013-8-6,1,0
彰化縣,營造業,開口部分,墜落、滾落,2013-8-8,1,0
新竹縣,製造業,其他(研磨機),物體飛落,2013-8-8,1,0
桃園縣,營造業,營建物(鋼軌樁),被撞,2013-8-11,1,0
高雄市,營造業,施工架,物體飛落,2013-8-11,1,0
彰化縣,製造業,電弧熔接設備(交流電焊機),感電,2013-8-13,1,0
高雄市,營造業,施工架,墜落、滾落,2013-8-15,1,0
基隆市,營造業,鏟土機,被夾、被捲,2013-8-16,1,0
桃園縣,製造業,手工具,感電,2013-8-19,1,0
南投縣,專業、科學及技術服務業,開口部分,墜落、滾落,2013-8-24,1,0
桃園縣,營造業,開口部分,墜落、滾落,2013-8-24,1,0
新北市,製造業,輸配電線路,感電,2013-8-25,1,0
台北市,用水供應及污染整治業,開口部分,墜落、滾落,2013-8-26,1,0
屏東縣,礦業及土石採取業,卡車(曳引車),被撞,2013-8-26,1,0
苗栗縣,製造業,電力設備,感電,2013-8-27,1,0
雲林縣,營造業,梯子,墜落、滾落,2013-8-27,1,0
台中市,製造業,鐵板,物體倒塌、崩塌,2013-8-28,1,0
基隆市,製造業,輸配電線路,感電,2013-8-31,1,0
苗栗縣,營造業,營建物(磚牆),物體倒塌、崩塌,2013-9-3,1,0
宜蘭縣,營造業,土砂、岩石,物體倒塌、崩塌,2013-9-3,1,0
台中市,營造業,開口部分,墜落、滾落,2013-9-3,1,0
新北市,營造業,金屬材料,物體倒塌、崩塌,2013-9-3,1,0
台南市,營造業,水,溺斃,2013-9-5,1,0
屏東縣,礦業及土石採取業,其他(鏟裝車),墜落、滾落,2013-9-5,1,0
新北市,營造業,輸配電線路,感電,2013-9-6,1,0
台北市,營造業,工作台、踏板,墜落、滾落,2013-9-7,1,0
新北市,營造業,屋頂,墜落、滾落,2013-9-7,1,0
台中市,製造業,屋頂、屋架、樑(鋼樑),墜落、滾落,2013-9-8,1,0
彰化縣,製造業,水,溺斃,2013-9-8,1,0
台中市,營造業,屋頂、屋架、樑(屋頂塑膠採光罩),墜落、滾落,2013-9-10,1,0
屏東縣,營造業,土砂、岩石,物體倒塌、崩塌,2013-9-10,1,0
台中市,營造業,施工架,墜落、滾落,2013-9-12,1,0
新北市,營造業,火車,被撞,2013-9-12,1,0
台北市,營造業,其他(電氣設備),火災,2013-9-12,1,2
新竹縣,營造業,屋頂、屋架、樑,墜落、滾落,2013-9-12,1,0
桃園縣,製造業,有害物(氯氣),與有害物等之接觸,2013-9-13,0,2
彰化縣,營造業,屋頂、屋架、樑,墜落、滾落,2013-9-13,1,0
屏東縣,營造業,屋頂、屋架、樑,墜落、滾落,2013-9-13,1,0
台中市,製造業,堆高機,被夾、被捲,2013-9-14,1,0
嘉義縣,農林漁牧業,水,溺斃,2013-9-14,1,0
苗栗縣,批發及零售業,營建物,物體倒塌、崩塌,2013-9-17,1,0
新竹縣,營造業,屋頂、屋架、樑(擋土支撐鋼樑),墜落、滾落,2013-9-17,1,0
新北市,支援服務業,樓梯、梯道,墜落、滾落,2013-9-22,1,0
屏東縣,製造業,屋頂、屋架、樑(屋頂塑膠採光板),墜落、滾落,2013-9-23,1,0
桃園縣,營造業,開口部分,墜落、滾落,2013-9-24,1,0
新北市,運輸及倉儲業,未包裝貨物(金屬機台),物體飛落,2013-9-24,1,0
新竹市,營造業,屋頂,墜落、滾落,2013-9-26,1,0
嘉義縣,農林漁牧業,水,溺斃,2013-9-26,1,0
台東縣,營造業,合梯,墜落、滾落,2013-9-27,1,0
台北市,營造業,工作台、踏板,墜落、滾落,2013-9-29,1,0
雲林縣,營造業,開口部分,墜落、滾落,2013-10-1,1,0
台南市,營造業,開口部分,墜落、滾落,2013-10-2,1,0
彰化縣,營造業,木材,物體飛落,2013-10-3,1,0
嘉義縣,營造業,卡車,墜落、滾落,2013-10-3,1,0
宜蘭縣,營造業,工作台、踏板,墜落、滾落,2013-10-3,1,0
桃園縣,營造業,梯子等,墜落、滾落,2013-10-3,1,0
宜蘭縣,營造業,開口部分,墜落、滾落,2013-10-4,1,0
桃園縣,製造業,其他(壓鑄機),被夾、被捲,2013-10-5,1,0
桃園縣,製造業,金屬材料(模具),被撞,2013-10-8,1,0
桃園縣,營造業,開口部分,墜落、滾落,2013-10-8,1,0
南科,營造業,施工架,墜落、滾落,2013-10-8,1,0
高雄市,製造業,屋頂、屋架、樑,墜落、滾落,2013-10-9,1,0
台南市,營造業,屋頂、屋架、樑,墜落、滾落,2013-10-11,1,0
南科,營造業,輸配電線路,感電,2013-10-12,1,0
台北市,營造業,鋼樑,墜落、滾落,2013-10-12,1,0
桃園縣,製造業,開口部分,墜落、滾落,2013-10-13,1,0
彰化縣,製造業,其他媒介物(不銹鋼門),物體倒塌、崩塌,2013-10-14,1,0
屏東縣,電力及燃氣供應業,輸配電線路,感電,2013-10-15,1,0
雲林縣,製造業,有害物(酚液),與有害物等之接觸,2013-10-16,1,0
台中市,批發及零售業,梯子等(繩梯),墜落、滾落,2013-10-18,1,0
台中市,製造業,起重機,被撞,2013-10-18,1,0
高雄市,運輸及倉儲業,頂樓,墜落、滾落,2013-10-19,1,0
新北市,營造業,屋頂,墜落、滾落,2013-10-20,1,0
桃園縣,營造業,開口部分,墜落、滾落,2013-10-21,1,0
嘉義縣,運輸及倉儲業,火車,墜落、滾落,2013-10-22,1,0
高雄市,農林漁牧業,材料(瀝青),與高溫、低溫之接觸,2013-10-24,0,5
台南市,農林漁牧業,水,溺斃,2013-10-24,1,0
南投縣,製造業,屋頂,墜落、滾落,2013-10-26,1,0
基隆市,用水供應及污染整治業,汽車、公共汽車,其他交通事故,2013-10-28,1,0
南投縣,製造業,壓力容器,與高溫、低溫之接觸,2013-10-28,1,0
彰化縣,製造業,其他(回收破碎機),被夾、被捲,2013-10-31,1,0
彰化縣,用水供應及污染整治業,動力鏟類設備,被夾、被捲,2013-11-2,1,0
花蓮縣,電力及燃氣供應業,開口部分,墜落、滾落,2013-11-5,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2013-11-7,1,0
台中市,營造業,升降機,被夾、被捲,2013-11-8,1,0
台南市,營造業,屋頂、屋架、樑,墜落、滾落,2013-11-9,1,0
台中市,用水供應及污染整治業,動力搬機械(鏟土機),被撞,2013-11-11,1,0
彰化縣,營造業,施工架,墜落、滾落,2013-11-11,1,0
高雄市,製造業,其他(自動存取機),衝撞,2013-11-12,1,0
高雄市,營造業,輸配電線路,感電,2013-11-15,1,0
台南市,營造業,屋頂、屋架、樑(塑膠採光罩),墜落、滾落,2013-11-16,1,0
南投縣,製造業,輸送機,被夾、被捲,2013-11-19,1,0
桃園縣,營造業,屋頂,墜落、滾落,2013-11-20,1,0
高雄市,營造業,營建物(磚牆),物體倒塌、崩塌,2013-11-23,1,0
南投縣,營造業,營建物,物體倒塌、崩塌,2013-11-26,1,0
新北市,營造業,營建物,物體飛落,2013-11-27,1,0
台中市,製造業,其他,物體倒塌、崩塌,2013-11-29,1,0
台北市,批發及零售業,梯子等,墜落、滾落,2013-11-29,1,0
桃園縣,製造業,卡車,其他交通事故,2013-11-29,1,0
高雄市,營造業,其他(起重機鋼索),墜落、滾落,2013-11-30,1,0
新北市,營造業,其他,墜落、滾落,2013-12-4,1,0
台南市,營造業,營建物(圍牆),墜落、滾落,2013-12-6,1,0
高雄市,營造業,施工架,墜落、滾落,2013-12-9,1,0
台南市,製造業,屋頂、屋架、樑,墜落、滾落,2013-12-10,1,0
台南市,營造業,施工架,墜落、滾落,2013-12-11,1,0
經加處,製造業,其他(大理石板),物體倒塌、崩塌,2013-12-12,1,0
台中市,製造業,其他(缺氧),與有害物等之接觸,2013-12-13,1,0
台東縣,營造業,屋頂、屋架、樑,墜落、滾落,2013-12-14,1,0
台南市,製造業,工作台,墜落、滾落,2013-12-16,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2013-12-16,1,0
新竹市,營造業,施工架,物體飛落,2013-12-16,1,0
台中市,支援服務業,梯子等,墜落、滾落,2013-12-19,1,0
桃園縣,製造業,開口部分,墜落、滾落,2013-12-23,1,0
桃園縣,營造業,施工架,物體倒塌、崩塌,2013-12-23,1,0
竹科,製造業,有害物(硫化氫),與有害物等之接觸,2013-12-25,0,2
宜蘭縣,營造業,卡車,其他交通事故,2013-12-26,1,0
台東縣,營造業,金屬材料,物體飛落,2013-12-31,1,0
